1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
665,152,1028,945,686,947,125,296,230,824,1001,738,549,781,927,659,874,725,258,1040,35,748,708,481,407
1689,1128,1428,1621,1809,1313,1896,1889,1903,1050,1638,1123,1652,1766,1738,1820,1479,1073,2074,1944,2074,1388,1824,1984,1106
2703,2739,2350,2505,2671,2502,2283,2968,2459,2881,3054,2137,2692,2485,2434,3126,3074,2545,2422,2516,3055,2500,3127,2704,2721
4167,3589,3362,3440,3486,3305,3170,3560,3814,3827,3290,3696,3179,3634,4062,4004,3509,3673,3752,3837,3899,3598,4139,3778,4111
4250,4806,4184,4309,4959,4909,4513,4246,4714,4911,4545,4946,4338,4180,4463,4185,4787,4411,4548,4988,4514,4488,4422,4432,4472
5278,5332,5423,6200,6094,5584,5292,5666,6211,5859,6011,5803,5730,6237,5676,5876,5340,5283,5860,6122,5616,5959,5633,5950,5793
7054,7214,6291,6905,6612,6265,6821,7144,7100,6318,7212,6646,7009,6400,7085,7181,7015,6327,6339,7267,7051,6948,6671,7003,7301
8328,7896,8096,8158,7644,7748,7457,7553,7727,7701,7459,7945,8133,8018,7798,7466,7391,7973,7982,7481,7645,7967,7580,7952,8048
8610,8529,8772,8819,8985,8662,8594,8375,9229,8588,8911,8893,8706,8984,8467,9208,8499,9112,8394,9046,9358,9277,8767,8492,9356
10355,9588,10126,9870,9928,9675,9987,9824,10333,10236,9748,10250,10349,10356,10106,10280,10013,9606,10158,10248,9987,9777,10233,9403,9806
11443,11347,11253,11109,11121,10691,10777,10788,10872,10627,10535,10868,10953,10958,11022,11007,10670,10742,10892,11138,10460,11470,10446,10714,10843
11818,12482,12032,12239,12078,12374,12035,11865,12301,11951,12003,12148,11870,12424,12501,12525,11583,11831,12074,12302,11643,12146,11927,11776,12401
12568,13349,12956,12666,13172,13331,13119,12858,13422,12953,13543,13571,13424,13053,12595,12546,12992,12650,13278,13137,13056,13429,13392,13352,12673
14230,14547,13733,14215,13944,14466,14346,14204,14206,13996,13844,13665,13708,14089,13573,13827,13962,14426,13770,13979,13920,14122,14417,13925,14112
15393,15510,15441,14739,15275,15166,15626,14685,15197,15152,15416,14734,15359,15277,15280,14923,15315,14879,15455,15529,15534,15411,15246,14850,14643
15890,16233,15993,16565,16098,16279,15813,16194,16358,16603,16375,15802,16154,16141,16483,15679,15941,15776,15894,16148,16094,15670,16126,16397,16355
